rsi_buy,rsi_sell,tp,sl,profit_factor,win_rate
35.0,65.0,3.0,1.0,inf,100.00
35.0,65.0,3.0,1.5,inf,100.00
35.0,65.0,3.0,2.0,inf,100.00
35.0,70.0,1.5,1.0,inf,100.00
35.0,70.0,1.5,1.5,inf,100.00
35.0,70.0,1.5,2.0,inf,100.00
35.0,70.0,2.0,1.0,inf,100.00
35.0,70.0,2.0,1.5,inf,100.00
35.0,70.0,2.0,2.0,inf,100.00
35.0,70.0,2.5,1.0,inf,100.00
35.0,70.0,2.5,1.5,inf,100.00
35.0,70.0,2.5,2.0,inf,100.00
35.0,70.0,3.0,1.0,inf,100.00
35.0,70.0,3.0,1.5,inf,100.00
35.0,70.0,3.0,2.0,inf,100.00
35.0,75.0,1.5,1.0,inf,100.00
35.0,75.0,1.5,1.5,inf,100.00
35.0,75.0,1.5,2.0,inf,100.00
35.0,75.0,2.0,1.0,inf,100.00
35.0,75.0,2.0,1.5,inf,100.00
35.0,75.0,2.0,2.0,inf,100.00
35.0,75.0,2.5,1.0,inf,100.00
35.0,75.0,2.5,1.5,inf,100.00
35.0,75.0,2.5,2.0,inf,100.00
35.0,75.0,3.0,1.0,inf,100.00
35.0,75.0,3.0,1.5,inf,100.00
35.0,75.0,3.0,2.0,inf,100.00
35.0,80.0,1.5,1.0,inf,100.00
35.0,80.0,1.5,1.5,inf,100.00
35.0,80.0,1.5,2.0,inf,100.00
35.0,80.0,2.0,1.0,inf,100.00
35.0,80.0,2.0,1.5,inf,100.00
35.0,80.0,2.0,2.0,inf,100.00
35.0,80.0,2.5,1.0,inf,100.00
35.0,80.0,2.5,1.5,inf,100.00
35.0,80.0,2.5,2.0,inf,100.00
35.0,80.0,3.0,1.0,inf,100.00
35.0,80.0,3.0,1.5,inf,100.00
35.0,80.0,3.0,2.0,inf,100.00
